log_id,customer_key,log_date,topic,category,description,sentiment,channel,priority,resolution_date,agent_key
1,15165,2023-12-08,Solar,Technisch,Einspeisevergütung Frage,Positiv,Chat,Mittel,2023-12-22,33
2,11944,2023-08-22,Wärmepumpe,Technisch,Wärmepumpe läuft nicht,Negativ,App,Kritisch,2023-08-28,104
3,50,2025-02-14,Wallbox,E-Mobility,Wallbox defekt,Negativ,Chat,Mittel,2025-02-22,27
4,13808,2024-05-17,Rechnung,Abrechnung,Abschlag zu hoch,Neutral,App,Mittel,2024-05-22,41
5,19837,2024-08-08,Tarif,Vertrag,Umzug melden,Negativ,App,Niedrig,2024-08-15,171
6,14101,2025-01-18,Speicher,Technisch,Speicher lädt nicht,Negativ,App,Mittel,2025-01-28,147
7,19828,2023-01-12,Smart Meter,Installation,Smart Meter Installation angefragt,Neutral,Telefon,Mittel,2023-01-15,102
8,602,2024-07-24,Allgemein,Service,Lob,Positiv,App,Niedrig,2024-08-01,115
9,19171,2024-05-27,Smart Meter,Installation,Smart Meter App funktioniert nicht,Negativ,App,Niedrig,2024-06-06,10
10,16066,2023-10-21,Smart Meter,Installation,Smart Meter App funktioniert nicht,Negativ,App,Hoch,2023-10-21,51
11,15978,2024-08-25,Smart Meter,Installation,Smart Meter zeigt keine Daten,Neutral,Telefon,Hoch,2024-08-25,197
12,6911,2025-01-24,Wallbox,E-Mobility,Wallbox lädt nicht,Negativ,Chat,Kritisch,2025-01-29,82
13,4273,2023-07-23,Speicher,Technisch,Kapazität gesunken,Negativ,Telefon,Mittel,2023-08-03,191
14,3760,2025-04-18,Tarif,Vertrag,Umzug melden,Positiv,Email,Mittel,2025-05-01,33
15,3008,2024-12-09,Wallbox,E-Mobility,Wallbox Installation angefragt,Neutral,Email,Mittel,2024-12-23,116
16,6406,2023-11-10,Smart Meter,Installation,Smart Meter Ablesung fehlerhaft,Neutral,Telefon,Niedrig,2023-11-20,175
17,12175,2024-12-31,Rechnung,Abrechnung,Gutschrift angefragt,Negativ,Email,Mittel,2025-01-12,149
18,16214,2025-04-07,Solar,Technisch,Wechselrichter Fehler,Neutral,Chat,Mittel,2025-04-12,164
19,4358,2023-10-13,Tarif,Vertrag,Tarifwechsel angefragt,Neutral,App,Niedrig,2023-10-21,141
20,10740,2025-06-26,Tarif,Vertrag,Kündigung,Neutral,Telefon,Mittel,2025-07-01,2
21,4653,2023-05-15,Speicher,Technisch,Kapazität gesunken,Negativ,Email,Mittel,2023-05-29,120
22,2171,2023-06-04,Solar,Technisch,Solaranlage Ertrag niedrig,Neutral,Chat,Hoch,2023-06-04,79
23,15396,2025-03-21,Tarif,Vertrag,Kündigung,Neutral,App,Mittel,2025-04-01,43
24,11151,2023-09-30,Wärmepumpe,Technisch,Wärmepumpe läuft nicht,Negativ,App,Hoch,2023-10-01,177
25,9316,2024-07-11,Speicher,Technisch,Batteriespeicher Störung,Negativ,Chat,Niedrig,2024-07-16,179
26,1743,2024-12-19,Tarif,Vertrag,Umzug melden,Positiv,Telefon,Hoch,2024-12-20,20
27,17632,2024-01-20,Smart Meter,Installation,Smart Meter App funktioniert nicht,Negativ,Telefon,Hoch,2024-01-27,146
28,13881,2023-11-20,Rechnung,Abrechnung,Abschlag anpassen,Negativ,Email,Mittel,2023-12-01,1
29,18663,2025-06-17,Smart Meter,Installation,Smart Meter Ablesung fehlerhaft,Neutral,Telefon,Hoch,2025-06-19,180
30,233,2024-10-18,Allgemein,Service,Beschwerde,Negativ,App,Hoch,2024-10-24,181
31,14169,2024-01-29,Tarif,Vertrag,Kündigung,Negativ,App,Niedrig,2024-02-09,7
32,4124,2024-12-18,Solar,Technisch,Einspeisevergütung Frage,Neutral,Chat,Mittel,2024-12-27,90
33,8970,2023-11-01,Smart Meter,Installation,Smart Meter zeigt keine Daten,Neutral,App,Hoch,2023-11-01,73
34,14643,2023-11-16,Allgemein,Service,Lob,Positiv,App,Niedrig,2023-11-26,88
35,8116,2025-06-24,Wallbox,E-Mobility,Wallbox defekt,Negativ,Telefon,Kritisch,2025-06-27,194
36,3351,2025-01-08,Wärmepumpe,Technisch,Effizienz zu niedrig,Negativ,App,Niedrig,2025-01-10,155
37,7121,2023-08-06,Allgemein,Service,Kontaktdaten ändern,Neutral,Email,Hoch,2023-08-10,28
38,3627,2025-06-08,Speicher,Technisch,Batteriespeicher Störung,Negativ,App,Mittel,2025-06-14,72
39,6806,2023-02-20,Tarif,Vertrag,Ökostrom Umstellung,Positiv,Chat,Mittel,2023-03-04,181
40,13157,2025-04-10,Wallbox,E-Mobility,Ladekarte Probleme,Neutral,App,Niedrig,2025-04-12,92
41,309,2024-08-30,Solar,Technisch,Solaranlage produziert nicht,Negativ,Telefon,Mittel,2024-09-06,37
42,8787,2025-03-04,Solar,Technisch,Einspeisevergütung Frage,Positiv,Telefon,Niedrig,2025-03-11,124
43,11445,2023-01-05,Smart Meter,Installation,Smart Meter Ablesung fehlerhaft,Neutral,Telefon,Hoch,2023-01-05,5
44,11825,2023-09-17,Allgemein,Service,Kontaktdaten ändern,Negativ,Telefon,Niedrig,2023-09-26,16
45,14171,2023-06-10,Allgemein,Service,Lob,Positiv,Chat,Niedrig,2023-06-15,164
46,6452,2024-06-01,Wallbox,E-Mobility,Wallbox defekt,Negativ,Telefon,Hoch,2024-06-08,167
47,6599,2024-04-29,Solar,Technisch,Wechselrichter Fehler,Neutral,Email,Mittel,2024-05-13,128
48,14943,2024-10-26,Rechnung,Abrechnung,Abschlag zu hoch,Neutral,Telefon,Niedrig,2024-10-30,66
49,14727,2023-11-10,Solar,Technisch,Monitoring nicht verfügbar,Negativ,App,Mittel,2023-11-10,167
50,2899,2024-02-22,Solar,Technisch,Solaranlage Ertrag niedrig,Positiv,Email,Niedrig,2024-02-24,135
51,9513,2024-02-07,Wärmepumpe,Technisch,Effizienz zu niedrig,Neutral,Email,Mittel,2024-02-20,7
52,10540,2024-04-11,Wärmepumpe,Technisch,Wärmepumpe läuft nicht,Negativ,Chat,Kritisch,2024-04-15,88
53,4407,2024-02-14,Smart Meter,Installation,Smart Meter zeigt keine Daten,Neutral,Email,Mittel,2024-02-28,77
54,9489,2023-06-12,Wärmepumpe,Technisch,Fehlercode E01 angezeigt,Neutral,App,Mittel,2023-06-16,61
55,13665,2024-11-18,Solar,Technisch,Solaranlage produziert nicht,Negativ,Telefon,Niedrig,2024-12-01,15
56,16597,2023-09-15,Wärmepumpe,Technisch,Wartung angefragt,Neutral,Chat,Mittel,2023-09-15,187
