campaign_key,campaign_name,objective
1,Grüner Strom Aktion,Neukundengewinnung
2,Wärmepumpen Förderung 2024,Produktlaunch
3,Solar Frühlings-Rabatt,Upsell
4,Smart Home Einführungsangebot,Produktlaunch
5,E-Mobility Bonus,Neukundengewinnung
6,Ökostrom für alle,Markenbekanntheit
7,Wintercheck Heizung,Kundenbindung
8,Energiespar-Challenge,Engagement
9,Nachbarschafts-Empfehlung,Empfehlung
10,Business Energy Paket,Lead-Generierung
11,Energie Kampagne 11,Lead-Generierung
12,Energie Kampagne 12,Neukundengewinnung
13,Energie Kampagne 13,Neukundengewinnung
14,Energie Kampagne 14,Upsell
15,Energie Kampagne 15,Kundenbindung
16,Energie Kampagne 16,Upsell
17,Energie Kampagne 17,Neukundengewinnung
18,Energie Kampagne 18,Kundenbindung
19,Energie Kampagne 19,Lead-Generierung
20,Energie Kampagne 20,Upsell
21,Energie Kampagne 21,Neukundengewinnung
22,Energie Kampagne 22,Upsell
23,Energie Kampagne 23,Neukundengewinnung
24,Energie Kampagne 24,Lead-Generierung
25,Energie Kampagne 25,Lead-Generierung
26,Energie Kampagne 26,Kundenbindung
27,Energie Kampagne 27,Lead-Generierung
28,Energie Kampagne 28,Lead-Generierung
29,Energie Kampagne 29,Kundenbindung
30,Energie Kampagne 30,Kundenbindung
31,Energie Kampagne 31,Kundenbindung
32,Energie Kampagne 32,Neukundengewinnung
33,Energie Kampagne 33,Kundenbindung
34,Energie Kampagne 34,Lead-Generierung
35,Energie Kampagne 35,Lead-Generierung
36,Energie Kampagne 36,Upsell
37,Energie Kampagne 37,Lead-Generierung
38,Energie Kampagne 38,Kundenbindung
39,Energie Kampagne 39,Kundenbindung
40,Energie Kampagne 40,Upsell
41,Energie Kampagne 41,Kundenbindung
42,Energie Kampagne 42,Upsell
43,Energie Kampagne 43,Upsell
44,Energie Kampagne 44,Upsell
45,Energie Kampagne 45,Kundenbindung
46,Energie Kampagne 46,Neukundengewinnung
47,Energie Kampagne 47,Kundenbindung
48,Energie Kampagne 48,Lead-Generierung
49,Energie Kampagne 49,Upsell
50,Energie Kampagne 50,Lead-Generierung
51,Energie Kampagne 51,Kundenbindung
52,Energie Kampagne 52,Neukundengewinnung
53,Energie Kampagne 53,Lead-Generierung
54,Energie Kampagne 54,Upsell
55,Energie Kampagne 55,Kundenbindung
56,Energie Kampagne 56,Kundenbindung
57,Energie Kampagne 57,Upsell
58,Energie Kampagne 58,Lead-Generierung
59,Energie Kampagne 59,Kundenbindung
60,Energie Kampagne 60,Kundenbindung
61,Energie Kampagne 61,Lead-Generierung
62,Energie Kampagne 62,Kundenbindung
63,Energie Kampagne 63,Lead-Generierung
64,Energie Kampagne 64,Neukundengewinnung
65,Energie Kampagne 65,Kundenbindung
66,Energie Kampagne 66,Kundenbindung
67,Energie Kampagne 67,Upsell
68,Energie Kampagne 68,Lead-Generierung
69,Energie Kampagne 69,Upsell
70,Energie Kampagne 70,Kundenbindung
71,Energie Kampagne 71,Lead-Generierung
72,Energie Kampagne 72,Upsell
73,Energie Kampagne 73,Upsell
74,Energie Kampagne 74,Neukundengewinnung
75,Energie Kampagne 75,Kundenbindung
76,Energie Kampagne 76,Upsell
77,Energie Kampagne 77,Upsell
78,Energie Kampagne 78,Upsell
79,Energie Kampagne 79,Upsell
80,Energie Kampagne 80,Lead-Generierung
81,Energie Kampagne 81,Neukundengewinnung
82,Energie Kampagne 82,Kundenbindung
83,Energie Kampagne 83,Kundenbindung
84,Energie Kampagne 84,Upsell
85,Energie Kampagne 85,Upsell
86,Energie Kampagne 86,Neukundengewinnung
87,Energie Kampagne 87,Kundenbindung
88,Energie Kampagne 88,Upsell
89,Energie Kampagne 89,Neukundengewinnung
90,Energie Kampagne 90,Lead-Generierung
91,Energie Kampagne 91,Neukundengewinnung
92,Energie Kampagne 92,Lead-Generierung
93,Energie Kampagne 93,Kundenbindung
94,Energie Kampagne 94,Neukundengewinnung
95,Energie Kampagne 95,Neukundengewinnung
96,Energie Kampagne 96,Kundenbindung
97,Energie Kampagne 97,Lead-Generierung
98,Energie Kampagne 98,Upsell
99,Energie Kampagne 99,Neukundengewinnung
100,Energie Kampagne 100,Upsell
